workload,config,rtt_ms,phase,bytes_fetched,requests,byte_amp,req_amp,min_total_bytes,min_requests,min_requests_naive,n_files,min_block_bytes,header_bytes,n_blocks,mean_range_bytes,connections,wall_s,peak_rss_mb,reads_executed,reads_total,truncated,gdal,curl,run_file
W2,TUNED_chunk16k,150.0,cold,769928681,2220,1.2047547697772485,4.530612244897959,639075022,490,1856,24,638939582,135440,1832,346814.7211711712,1,370.8509,2274.4,9893,9893,False,3.13.3,8.18.0,W2.TUNED_chunk16k.rtt150.json
W2,TUNED_chunk16k,150.0,warm,331128961,1504,0.5181378548698778,3.0693877551020408,639075022,490,1856,24,638939582,135440,1832,220165.53257978722,1,247.9911,2278.8,9893,9893,False,3.13.3,8.18.0,W2.TUNED_chunk16k.rtt150.json
W2,TUNED_chunk16k,5.0,cold,769928681,2220,1.2047547697772485,4.530612244897959,639075022,490,1856,24,638939582,135440,1832,346814.7211711712,1,27.939,2283.0,9893,9893,False,3.13.3,8.18.0,W2.TUNED_chunk16k.rtt5.json
W2,TUNED_chunk16k,5.0,warm,331128961,1504,0.5181378548698778,3.0693877551020408,639075022,490,1856,24,638939582,135440,1832,220165.53257978722,1,16.6037,2283.0,9893,9893,False,3.13.3,8.18.0,W2.TUNED_chunk16k.rtt5.json
W2,TUNED_chunk16k,50.0,cold,769928681,2220,1.2047547697772485,4.530612244897959,639075022,490,1856,24,638939582,135440,1832,346814.7211711712,1,146.3126,2276.6,9893,9893,False,3.13.3,8.18.0,W2.TUNED_chunk16k.rtt50.json
W2,TUNED_chunk16k,50.0,warm,331128961,1504,0.5181378548698778,3.0693877551020408,639075022,490,1856,24,638939582,135440,1832,220165.53257978722,1,95.6437,2286.0,9893,9893,False,3.13.3,8.18.0,W2.TUNED_chunk16k.rtt50.json
W2,TUNED_chunk1m,50.0,cold,2894128611,2039,4.528621071658782,4.161224489795918,639075022,490,1856,24,638939582,135440,1832,1419386.273173124,1,145.3745,2296.6,9893,9893,False,3.13.3,8.18.0,W2.TUNED_chunk1m.rtt50.json
W2,TUNED_chunk1m,50.0,warm,1770800170,1380,2.770879957815031,2.816326530612245,639075022,490,1856,24,638939582,135440,1832,1283188.5289855073,1,92.4426,2297.4,9893,9893,False,3.13.3,8.18.0,W2.TUNED_chunk1m.rtt50.json
W2,TUNED_chunk256k,50.0,cold,1286499188,2093,2.0130644192193135,4.271428571428571,639075022,490,1856,24,638939582,135440,1832,614667.5527950311,1,139.2339,2262.5,9893,9893,False,3.13.3,8.18.0,W2.TUNED_chunk256k.rtt50.json
W2,TUNED_chunk256k,50.0,warm,666656268,1417,1.043158072292802,2.8918367346938774,639075022,490,1856,24,638939582,135440,1832,470470.196189132,1,92.4427,2276.1,9893,9893,False,3.13.3,8.18.0,W2.TUNED_chunk256k.rtt50.json
